transaction_event_log_id,customer_dob_entry,duration,event_type,global_unique_identifier,verifone_transaction_sn
90654663,,657,FINANCIAL,1726116894000-660011418-0001429164,116420
90254664,,103,FINANCIAL,1726116894000-660011418-0001429165,116421
10162014,060107,3,FINANCIAL,1726116894000-660011418-0001429167,116422
90154665,,253,FINANCIAL,1726116894000-660011418-0001429170,116423
10162015,,2,FINANCIAL,1726116894000-660011418-0001429171,116424
10162016,060107,1,FINANCIAL,1726116894000-660011418-0001429180,116425
10162017,,22,FINANCIAL,1726116894000-660011418-0001429182,116426
10162018,,1,FINANCIAL,1726116894000-660011418-0001429185,116427
10162019,060107,2,FINANCIAL,1726116894000-660011418-0001429188,116428
10162020,,21,FINANCIAL,1726116894000-660011418-0001429197,116429
90154666,,137,FINANCIAL,1726116894000-660011418-0001429200,116430
90654667,,168,FINANCIAL,1726116894000-660011418-0001429208,116431
10162021,060107,5,FINANCIAL,1726116894000-660011418-0001429210,116432
10162022,,8,FINANCIAL,1726116894000-660011418-0001429219,116433
10162023,,26,FINANCIAL,1726116894000-660011418-0001429228,116434
10162024,,14,FINANCIAL,1726116894000-660011418-0001429230,116435
90454668,,199,FINANCIAL,1726116894000-660011418-0001429239,116436
10162025,,40,FINANCIAL,1726116894000-660011418-0001429241,116437
10162026,,2,FINANCIAL,1726116894000-660011418-0001429243,116438
90754669,,145,FINANCIAL,1726116894000-660011418-0001429253,116439
10162027,060104,8,FINANCIAL,1726116894000-660011418-0001429255,116440
90654670,,119,FINANCIAL,1726116894000-660011418-0001429264,116441
90154671,,221,FINANCIAL,1726116894000-660011418-0001429265,116442
10162028,,14,FINANCIAL,1726116894000-660011418-0001429267,116443
10162029,,13,FINANCIAL,1726116894000-660011418-0001429275,116444
10162030,060104,6,FINANCIAL,1726116894000-660011418-0001429284,116445
10162031,,10,FINANCIAL,1726116894000-660011418-0001429286,116446
90354672,,167,FINANCIAL,1726116894000-660011418-0001429302,116447
10162032,,8,FINANCIAL,1726116894000-660011418-0001429327,116448
90454673,,162,FINANCIAL,1726116894000-660011418-0001429344,116449
90354674,,158,FINANCIAL,1726116894000-660011418-0001429352,116450
10162033,060104,26,FINANCIAL,1726116894000-660011418-0001429375,116451
90654675,,83,FINANCIAL,1726116894000-660011418-0001429378,116452
90454676,,238,FINANCIAL,1726116894000-660011418-0001429379,116453
90154677,060104,198,FINANCIAL,1726116894000-660011418-0001429386,116454
10162034,060104,83,FINANCIAL,1726116894000-660011418-0001429416,116455
90654678,,124,FINANCIAL,1726116894000-660011418-0001429419,116456
90754679,,351,FINANCIAL,1726116894000-660011418-0001429433,116457
10162035,,18,FINANCIAL,1726116894000-660011418-0001429446,116458
90554680,,185,FINANCIAL,1726116894000-660011418-0001429462,116459
10162036,060107,15,FINANCIAL,1726116894000-660011418-0001429470,116460
90454681,,91,FINANCIAL,1726116894000-660011418-0001429480,116461
90154682,060107,218,FINANCIAL,1726116894000-660011418-0001429481,116462
90254683,,63,FINANCIAL,1726116894000-660011418-0001429491,116463
10162037,,9,FINANCIAL,1726116894000-660011418-0001429504,116464
90654684,,195,FINANCIAL,1726116894000-660011418-0001429520,116465
90754685,,162,FINANCIAL,1726116894000-660011418-0001429548,116466
90254686,,181,FINANCIAL,1726116894000-660011418-0001429557,116467
90754687,,192,FINANCIAL,1726116894000-660011418-0001429565,116468
10162038,,9,FINANCIAL,1726116894000-660011418-0001429590,116469
90754688,,232,FINANCIAL,1726116894000-660011418-0001429624,116470
10162039,060107,1,FINANCIAL,1726116894000-660011418-0001429656,116471
90754689,,97,FINANCIAL,1726116894000-660011418-0001429666,116472
10162040,060104,7,FINANCIAL,1726116894000-660011418-0001429674,116473
10162041,060104,18,FINANCIAL,1726116894000-660011418-0001429678,116474
90254690,,183,FINANCIAL,1726116894000-660011418-0001429689,116475
90354691,,120,FINANCIAL,1726116894000-660011418-0001429691,116476
10162042,,9,FINANCIAL,1726116894000-660011418-0001429692,116477
90554692,,164,FINANCIAL,1726116894000-660011418-0001429701,116478
90654693,,222,FINANCIAL,1726116894000-660011418-0001429711,116479
90154694,,144,FINANCIAL,1726116894000-660011418-0001429714,116480
90454695,,90,FINANCIAL,1726116894000-660011418-0001429716,116481
90354696,,173,FINANCIAL,1726116894000-660011418-0001429724,116482
10162043,060107,13,FINANCIAL,1726116894000-660011418-0001429732,116483
10162044,,10,FINANCIAL,1726116894000-660011418-0001429734,116484
90354697,,221,FINANCIAL,1726116894000-660011418-0001429768,116485
10162045,,30,FINANCIAL,1726116894000-660011418-0001429775,116486
90454698,,83,FINANCIAL,1726116894000-660011418-0001429792,116487
90154699,,210,FINANCIAL,1726116894000-660011418-0001429806,116488
10162046,,9,FINANCIAL,1726116894000-660011418-0001429807,116489
10162047,,19,FINANCIAL,1726116894000-660011418-0001429821,116490
10162048,,21,FINANCIAL,1726116894000-660011418-0001429823,116491
90654700,,134,FINANCIAL,1726116894000-660011418-0001429839,116492
90654702,,114,FINANCIAL,1726116894000-660011418-0001429849,116494
90654703,,70,FINANCIAL,1726116894000-660011418-0001429882,116495
10162049,,8,FINANCIAL,1726116894000-660011418-0001429907,116496
90754704,,103,FINANCIAL,1726116894000-660011418-0001429917,116497
90754705,,157,FINANCIAL,1726116894000-660011418-0001429957,116498
90354706,,135,FINANCIAL,1726116894000-660011418-0001429995,116499
90154707,,90,FINANCIAL,1726116894000-660011418-0001430142,116500
